gu_key,dong_key,gu_label,fallback_score,fallback_n,gwr_model_score,gwr_n,mgwr_model_score,mgwr_n,gwr_score_filled,mgwr_score_filled,gwr_filled_from_final,mgwr_filled_from_final
Dongjak-gu,대방동,동작구,,,,,,,,,False,False
Jongno-gu,내수동,종로구,25.45688496,2.0,25.45688496,2.0,,,25.45688496,25.45688496,False,True
Dongjak-gu,흑석동,동작구,,,,,,,,,False,False
Dobong-gu,창동,도봉구,,,,,,,,,False,False
Dongdaemun-gu,청량리동,동대문구,,,,,,,,,False,False
Dongdaemun-gu,전농동,동대문구,,,,,,,,,False,False
Dongdaemun-gu,이문동,동대문구,,,,,,,,,False,False
Dongdaemun-gu,휘경동,동대문구,,,,,,,,,False,False
Dongjak-gu,상도동,동작구,,,,,,,,,False,False
Geumcheon-gu,독산동,금천구,,,,,,,,,False,False
Geumcheon-gu,시흥동,금천구,,,,,,,,,False,False
Guro-gu,개봉동,구로구,,,,,,,,,False,False
Guro-gu,구로동,구로구,,,,,,,,,False,False
Jongno-gu,중학동,종로구,,,,,,,,,False,False
Jung-gu,신당동,중구,33.99983242633871,62.0,34.2283373808,25.0,31.958746872999928,6.0,34.2283373808,31.958746872999928,False,False
Gangbuk-gu,미아동,강북구,,,,,,,,,False,False
Jongno-gu,궁정동,종로구,,,,,,,,,False,False
Eunpyeong-gu,응암동,은평구,,,,,,,,,False,False
Jongno-gu,내자동,종로구,,,,,,,,,False,False
Jung-gu,수표동,중구,,,,,,,,,False,False
Jungnang-gu,신내동,중랑구,,,,,,,,,False,False
Gangseo-gu,방화동,강서구,35.2290985112,25.0,36.876158055000005,10.0,,,36.876158055000005,35.2290985112,False,True
Jongno-gu,예지동,종로구,,,,,,,,,False,False
Jongno-gu,명륜2가,종로구,28.490318323999997,5.0,21.53596102,1.0,,,21.53596102,28.490318323999997,False,True
Jongno-gu,신교동,종로구,32.775045636,5.0,38.10330545,1.0,,,38.10330545,32.775045636,False,True
Jongno-gu,경운동,종로구,,,,,,,,,False,False
Gwanak-gu,신림동,관악구,,,,,,,,,False,False
Gwanak-gu,봉천동,관악구,,,,,,,,,False,False
Jongno-gu,소격동,종로구,51.18970741,1.0,51.18970741,1.0,,,51.18970741,51.18970741,False,True
Jongno-gu,공평동,종로구,,,,,,,,,False,False
Jongno-gu,청진동,종로구,21.85697839,1.0,21.85697839,1.0,,,21.85697839,21.85697839,False,True
Dongjak-gu,본동,동작구,,,,,,,,,False,False
Dongdaemun-gu,장안동,동대문구,,,,,,,,,False,False
Jongno-gu,도렴동,종로구,,,,,,,,,False,False
Dongjak-gu,동작동,동작구,,,,,,,,,False,False
Dongjak-gu,사당동,동작구,,,,,,,,,False,False
Dobong-gu,쌍문동,도봉구,,,,,,,,,False,False
Dobong-gu,방학동,도봉구,,,,,,,,,False,False
Jongno-gu,통인동,종로구,34.66589446,8.0,39.24446346,3.0,,,39.24446346,34.66589446,False,True
Dobong-gu,도봉동,도봉구,,,,,,,,,False,False
Dongdaemun-gu,제기동,동대문구,,,,,,,,,False,False
Jongno-gu,누상동,종로구,34.32704026533334,15.0,37.0589768775,4.0,,,37.0589768775,34.32704026533334,False,True
Dongdaemun-gu,답십리동,동대문구,,,,,,,,,False,False
Dongdaemun-gu,용두동,동대문구,,,,,,,,,False,False
Jongno-gu,창성동,종로구,20.12331255,1.0,,,,,20.12331255,20.12331255,True,True
Dongdaemun-gu,회기동,동대문구,,,,,,,,,False,False
Guro-gu,항동,구로구,,,,,,,,,False,False
Jongno-gu,세종로,종로구,,,,,,,,,False,False
Jongno-gu,신문로2가,종로구,36.083196279999996,2.0,34.81453741,1.0,,,34.81453741,36.083196279999996,False,True
Jongno-gu,삼청동,종로구,54.280307996666664,3.0,56.07902177,1.0,,,56.07902177,54.280307996666664,False,True
Dongjak-gu,노량진동,동작구,,,,,,,,,False,False
Jongno-gu,팔판동,종로구,64.41075129,1.0,,,,,64.41075129,64.41075129,True,True
Eunpyeong-gu,구산동,은평구,,,,,,,,,False,False
Jongno-gu,와룡동,종로구,30.198058557999996,5.0,32.68575111,2.0,,,32.68575111,30.198058557999996,False,True
Jongno-gu,계동,종로구,25.6935069875,4.0,21.8401548,2.0,,,21.8401548,25.6935069875,False,True
Jongno-gu,적선동,종로구,,,,,,,,,False,False
Jongno-gu,효자동,종로구,31.497015113333333,3.0,34.675553275,2.0,47.59690067117205,1.0,34.675553275,47.59690067117205,False,False
Jongno-gu,종로1가,종로구,,,,,,,,,False,False
Jongno-gu,안국동,종로구,,,,,,,,,False,False
Dongdaemun-gu,신설동,동대문구,,,,,,,,,False,False
Eunpyeong-gu,증산동,은평구,,,,,,,,,False,False
Gangnam-gu,논현동,강남구,32.23179044108108,74.0,33.42788349653846,26.0,36.581009046541936,6.0,33.42788349653846,36.581009046541936,False,False
