화재번호,발생일자,발생시군구,화재유형,발화요인_대분류,발화요인_소분류,발화장소_대분류,발화장소_중분류,재산피해액(천원),재산피해액_백만원,사망자수,부상자수,인명피해계,위도,경도
190922135220536,20190922,중구,건축/구조물,미상,미상,판매/업무시설,판매시설,71613336,71613.336,0,0,0,37.5684404,127.0113839
190329070442067,20190329,영등포구,건축/구조물,방화,방화,주거,기타주택,2397753,2397.753,0,2,2,37.5163513,126.9050452
210214121842554,20210214,중구,건축/구조물,전기적 요인,미확인단락,판매/업무시설,판매시설,1586332,1586.332,0,3,3,37.5638555,126.9839949
230120162439271,20230120,강남구,건축/구조물,전기적 요인,접촉불량에 의한 단락,주거,기타주택,1083514,1083.514,0,0,0,37.47698377,127.0640769
170310220010413,20170310,마포구,건축/구조물,부주의,용접/ 절단/ 연마,판매/업무시설,일반업무,980712,980.712,0,1,1,37.5819342,126.8892357
190816204319636,20190815,중구,건축/구조물,전기적 요인,미확인단락,판매/업무시설,일반업무,782053,782.053,0,0,0,37.5576489,126.9759062
201006214341768,20201006,마포구,건축/구조물,부주의,음식물 조리중,주거,공동주택,765935,765.935,0,3,3,37.5399473,126.9455565
200126135949809,20200126,중구,건축/구조물,전기적 요인,트래킹에 의한 단락,판매/업무시설,숙박시설,507760,507.76,0,4,4,37.5602234,127.0022471
201216101705874,20201215,강남구,건축/구조물,전기적 요인,미확인단락,판매/업무시설,일반업무,500459,500.459,0,0,0,37.5046476,127.0412877
170925050654729,20170924,종로구,건축/구조물,미상,미상,산업시설,공장시설,493223,493.223,0,0,0,37.5722232,127.0195704
220319171744939,20220319,성동구,건축/구조물,전기적 요인,접촉불량에 의한 단락,판매/업무시설,판매시설,485510,485.51,0,2,2,37.570921,127.041424
190214200907574,20190214,중구,건축/구조물,기계적 요인,기타(기계적요인),산업시설,작업장,478660,478.66,0,0,0,37.5668269,126.996895
220408020029086,20220407,중구,건축/구조물,미상,미상,산업시설,작업장,474137,474.137,0,3,3,37.562076,126.994384
200120152024040,20200120,마포구,건축/구조물,미상,미상,집합시설,운동시설,464763,464.763,0,0,0,37.555817,126.9437394
230323195423834,20230323,영등포구,건축/구조물,전기적 요인,절연열화에 의한 단락,산업시설,공장시설,442672,442.672,0,0,0,37.51440074,126.8922023
220304185415025,20220304,성동구,건축/구조물,미상,미상,산업시설,작업장,437587,437.587,0,0,0,37.538592,127.060578
190115064451568,20190115,성동구,건축/구조물,전기적 요인,트래킹에 의한 단락,산업시설,창고시설,409929,409.929,0,0,0,37.5691319,127.0387829
220701171330999,20220701,중구,건축/구조물,미상,미상,판매/업무시설,일반업무,357783,357.783,0,2,2,37.56282,126.989543
191115220946395,20191115,서초구,건축/구조물,미상,미상,판매/업무시설,판매시설,317163,317.163,0,15,15,37.4970946,127.0237321
170330202028001,20170311,영등포구,건축/구조물,가스누출(폭발),가스누출(폭발),판매/업무시설,일반업무,307549,307.549,0,3,3,37.5013344,126.8986258
230404050356671,20230403,중구,건축/구조물,미상,미상,산업시설,작업장,306142,306.142,0,2,2,37.56315579,126.9967044
